INVNRS,ONDERWERP,TERM,URI
56875,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
56876,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
56877,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
56878,Speelvijver,,
56879,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
56880,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
56881,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
56882,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
56883,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
56884,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
56885,Begraafplaats,,
56886,Brug,Brug,http://vocab.getty.edu/aat/300007836
56887,Brug,Brug,http://vocab.getty.edu/aat/300007836
56888,Brug,Brug,http://vocab.getty.edu/aat/300007836
56889,Brug,Brug,http://vocab.getty.edu/aat/300007836
56890,Brug,Brug,http://vocab.getty.edu/aat/300007836
56891,Brug,Brug,http://vocab.getty.edu/aat/300007836
56892,Brug,Brug,http://vocab.getty.edu/aat/300007836
56893,Brug,Brug,http://vocab.getty.edu/aat/300007836
56894,Brug,Brug,http://vocab.getty.edu/aat/300007836
56895,Brug,Brug,http://vocab.getty.edu/aat/300007836
56896,Brug,Brug,http://vocab.getty.edu/aat/300007836
56897,Brug,Brug,http://vocab.getty.edu/aat/300007836
56898,Brug,Brug,http://vocab.getty.edu/aat/300007836
56899,Brug,Brug,http://vocab.getty.edu/aat/300007836
56900,Brug,Brug,http://vocab.getty.edu/aat/300007836
56901,Perceel,,
56902,Perceel,,
56903,Perceel,,
56904,Perceel,,
56905,Perceel,,
56906,Perceel,,
56907,Perceel,,
56908,Perceel,,
56909,Perceel,,
56910,Perceel,,
56911,Perceel,,
56912,Perceel,,
56913,Perceel,,
56914,Perceel,,
56915,Perceel,,
56916,Perceel,,
56917,Situatie,,
56918,Situatie,,
56919,Perceel,,
56920,Perceel,,
56921,Perceel,,
56922,Perceel,,
56923,Perceel,,
56924,Perceel,,
56925,Perceel,,
56926,Museum,,
56927,Perceel,,
56928,Perceel,,
56929,Perceel,,
56930,Perceel,,
56931,Perceel,,
56932,Perceel,,
56933,Perceel,,
56934,Perceel,,
56935,Perceel,,
56936,Perceel,,
56937,Perceel,,
56938,Perceel,,
56939,Perceel,,
56940,Perceel,,
56941,Perceel,,
56942,Perceel,,
56943,Perceel,,
56944,Perceel,,
56945,Perceel,,
56946,Perceel,,
56947,Perceel,,
56949,Perceel,,
56950,Perceel,,
56951,Perceel,,
56952,Perceel,,
56953,Perceel,,
56954,Perceel,,
56955,Perceel,,
56956,Perceel,,
56957,Perceel,,
56958,Perceel,,
56959,Perceel,,
56960,Perceel,,
56961,Perceel,,
56962,Perceel,,
56963,Perceel,,
56964,Perceel,,
56965,Perceel,,
56966,Parkeergarage,,
