INVNRS,ONDERWERP,TERM,URI
55743,Grondwerk,,
55744,Trappen,,
55745,Steiger,Steiger,http://vocab.getty.edu/aat/300404856
55746,Grondwerk,,
55747,Drijfdennen,,
55748,Perceel,,
55749,Perceel,,
55750,Grondwerk,,
55751,Perceel,,
55752,Brug,Brug,http://vocab.getty.edu/aat/300007836
55753,Brug,Brug,http://vocab.getty.edu/aat/300007836
55754,Grondwerk,,
55758,Grondwerk,,
55759,Grondwerk,,
55760,Grondwerk,,
55761,Slopen,,
55762,Grondwerk,,
55763,Grondwerk,,
55764,Kaart,,
55765,Diverse,,
55766,Bestrating,,
55767,Bestrating,,
55768,Bestrating,,
55769,Bestrating,,
55770,Bestrating,,
55771,Bestrating,,
55772,Bestrating,,
55773,Bestrating,,
55774,Bestrating,,
55775,Grondwerk,,
55776,Bestrating,,
55777,Bestrating,,
55778,Bestrating,,
55779,Bestrating,,
55780,Bestrating,,
55781,Bestrating,,
55782,Bestrating,,
55783,Bestrating,,
55784,Bestrating,,
55785,Bestrating,,
55786,Bestrating,,
55787,Indeling,,
55788,Bestrating,,
55789,Bestrating,,
55790,Bestrating,,
55791,Bestrating,,
55792,Bestrating,,
55793,Bestrating,,
55794,Bestrating,,
55795,Bestrating,,
55796,Bestrating,,
55797,Bestrating,,
55798,Bestrating,,
55799,Bestrating,,
55800,Bestrating,,
55801,Bestrating,,
55802,Schetsopmetingen,,
55803,Bestrating,,
55804,Bestrating,,
55805,Bestrating,,
55806,Bestrating,,
55807,Bestrating,,
55808,Bestrating,,
55809,Bestrating,,
55810,Bestrating,,
55811,Bestrating,,
55812,Dr.,,
55813,Gebouw,,
55814,W.G.,,
55815,Scholengem.,,
55816,Gemeentelijke,,
55817,Openbare,,
55818,W.G.,,
55819,W.G.,,
55820,Scholengemeenschap,,
55821,Scholengem.,,
55822,Stadhuis,,
55823,Bouwbureau,,
55824,Tribuen,,
55825,W.G.,,
55826,Gebouw,,
55827,Slopen,,
55828,Kabelbaan,,
55829,Afgraving,,
55830,Grondwerk,,
55831,Trappen,,
55832,Steiger,Steiger,http://vocab.getty.edu/aat/300404856
55833,Waterkering,,
55834,Afgraven,,
55836,Afgraven,,
55837,Ophoging,,
55838,Trappen,,
55839,Schotbalkenloods,,
55840,Trap,,
55841,Ontwateringstocht,,
55842,Oevervoorziening,Oevervoorziening,http://vocab.getty.edu/aat/300404856
55843,Grondwerk,,
55844,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55845,Steiger,Steiger,http://vocab.getty.edu/aat/300404856
55846,Riesenrad,,
55847,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55848,Speelplaatsen,,
55849,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
