INVNRS;ONDERWERP
1000;Rioolgemaal
1001;Doelenzaal
1002;Scholengemeenschap
1003;Verbouwing
1004;Verbouwing
1005;Stedelijk
1006;Verbouwing
1007;Universiteit
1008;Dienstgebouwtje
1009;V.M.
1010;Woning
1011;Marcanti
1012;Raadhuis
1013;G.E.B.
1014;Verbouwing
1015;S.M.N.
1016;Dienstwoningen
1017;Brandweerpost
1018;Gemaal
1019;Laboratoria.
1020;Paleis
1021;Muziekbibliotheek
1022;Hoofdbank
1023;Universiteit
1024;Plan
1025;Sportgeb.
1026;Doofstommenschool.
1027;Cantine
1028;Universiteit
1029;Oud
1030;Uitbr.
1031;Verb.
1032;Uitbr.
1033;Uitbr.
1034;Verb.
1035;Mijtijlschool
1036;Verb.
1037;Uitbr.
1038;Verb.
1039;Clubgebouw
1040;School
1041;G.L.O.
1042;Uitbr.
1043;Scholentypen.
1044;Verb.
1045;Uitbr.
1046;School
1047;Bouw
1048;Portierloge
1049;Bouw
1050;Schetsopmeting
1051;Gezondheidscentrum-Soc.
1052;Rheuma
1053;Verzorginshuis
1054;Bouw
1055;Bouw
1056;Wijkgebouw
1057;Gemeentelijke
1058;Uitneembare
1059;Wachthuisje
1060;Dienstgebouw
1061;Inr.
1062;Bouw
1063;Bouw
1064;Bouw
1065;Afbouw
1066;Spinozaschool
1067;Uitbreiding
1068;Dienstwoning
1069;Ind.
1070;Splitsing
1071;Bouw
1072;Rijksweg
1073;Viaducten
1074;Stationsgebouw
1075;Vrachtgebouw
1076;Verkeerstoren
1077;Pieren
1078;Midden
1079;Opstelling
1080;Schem's
1081;Middenareaal
1082;Buitenlandse
1083;Techn.Areaal
1084;Typen
1085;Navigatie
1086;Luchtbaartverkeer
1087;Sport
1088;Verkeer-En
1089;Agrarische
1090;Riolering
1091;3
1092;Gebouw
1093;Scholencomplex
1094;H.B.S.
1095;Scholencomplex
1096;Brandweerpost
1097;Gemaal
1098;U.L.O.
1099;Barlaeus
1100;Kindertoiletgebouwtje
1101;Centine
